Country/Area,Technology,Grid Connection,Year,Heat Generation (TJ)
Bulgaria,Oil,Heat (Commercial),2021,4.088
Bulgaria,Oil,Heat (Commercial),2022,3.707
Bulgaria,Oil,Combined Heat and Power (CHP),2000,842.0
Bulgaria,Oil,Combined Heat and Power (CHP),2001,608.0
Bulgaria,Oil,Combined Heat and Power (CHP),2002,349.0
Bulgaria,Oil,Combined Heat and Power (CHP),2003,699.0
Bulgaria,Oil,Combined Heat and Power (CHP),2004,740.0
Bulgaria,Oil,Combined Heat and Power (CHP),2005,1299.0
Bulgaria,Oil,Combined Heat and Power (CHP),2006,141.0
Bulgaria,Oil,Combined Heat and Power (CHP),2007,403.0
Bulgaria,Oil,Combined Heat and Power (CHP),2008,1469.0
Bulgaria,Oil,Combined Heat and Power (CHP),2009,4652.0
Bulgaria,Oil,Combined Heat and Power (CHP),2010,4787.0
Bulgaria,Oil,Combined Heat and Power (CHP),2011,2728.0
Bulgaria,Oil,Combined Heat and Power (CHP),2012,4561.0
Bulgaria,Oil,Combined Heat and Power (CHP),2013,4801.0
Bulgaria,Oil,Combined Heat and Power (CHP),2014,5497.0
Bulgaria,Oil,Combined Heat and Power (CHP),2015,5261.0
Bulgaria,Oil,Combined Heat and Power (CHP),2016,6174.0
Bulgaria,Oil,Combined Heat and Power (CHP),2017,3664.71
Bulgaria,Oil,Combined Heat and Power (CHP),2018,37.201
Bulgaria,Oil,Combined Heat and Power (CHP),2019,48.532
Bulgaria,Oil,Combined Heat and Power (CHP),2020,43.514
Bulgaria,Oil,Combined Heat and Power (CHP),2021,67.451
Bulgaria,Oil,Combined Heat and Power (CHP),2022,121.042
Bulgaria,Natural gas,Heat (Commercial),2000,11304.0
Bulgaria,Natural gas,Heat (Commercial),2001,10871.0
Bulgaria,Natural gas,Heat (Commercial),2002,10232.0
Bulgaria,Natural gas,Heat (Commercial),2003,10682.0
Bulgaria,Natural gas,Heat (Commercial),2004,9527.0
Bulgaria,Natural gas,Heat (Commercial),2005,12018.0
Bulgaria,Natural gas,Heat (Commercial),2006,11017.0
Bulgaria,Natural gas,Heat (Commercial),2007,8152.0
Bulgaria,Natural gas,Heat (Commercial),2008,8763.0
Bulgaria,Natural gas,Heat (Commercial),2009,8995.0
Bulgaria,Natural gas,Heat (Commercial),2010,10702.0
Bulgaria,Natural gas,Heat (Commercial),2011,9283.0
Bulgaria,Natural gas,Heat (Commercial),2012,7485.0
Bulgaria,Natural gas,Heat (Commercial),2013,5711.0
Bulgaria,Natural gas,Heat (Commercial),2014,6563.0
Bulgaria,Natural gas,Heat (Commercial),2015,8066.0
Bulgaria,Natural gas,Heat (Commercial),2016,8145.0
Bulgaria,Natural gas,Heat (Commercial),2017,9347.44
Bulgaria,Natural gas,Heat (Commercial),2018,8423.42
Bulgaria,Natural gas,Heat (Commercial),2019,6410.17
Bulgaria,Natural gas,Heat (Commercial),2020,6764.52
Bulgaria,Natural gas,Heat (Commercial),2021,6623.76
Bulgaria,Natural gas,Heat (Commercial),2022,5815.42
Bulgaria,Natural gas,Combined Heat and Power (CHP),2000,12654.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2001,12040.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2002,11793.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2003,15068.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2004,17642.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2005,16725.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2006,15992.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2007,14440.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2008,16329.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2009,16237.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2010,18279.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2011,19107.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2012,18122.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2013,17977.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2014,16378.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2015,15002.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2016,13711.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2017,13570.2
Bulgaria,Natural gas,Combined Heat and Power (CHP),2018,13821.7
Bulgaria,Natural gas,Combined Heat and Power (CHP),2019,14975.3
Bulgaria,Natural gas,Combined Heat and Power (CHP),2020,15044.3
Bulgaria,Natural gas,Combined Heat and Power (CHP),2021,16351.0
Bulgaria,Natural gas,Combined Heat and Power (CHP),2022,15111.4
Bulgaria,Nuclear,Combined Heat and Power (CHP),2000,432.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2001,595.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2002,684.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2003,680.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2004,588.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2005,602.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2006,585.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2007,854.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2008,906.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2009,967.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2010,943.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2011,922.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2012,940.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2013,655.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2014,604.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2015,635.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2016,612.0
Bulgaria,Nuclear,Combined Heat and Power (CHP),2017,696.204
Bulgaria,Nuclear,Combined Heat and Power (CHP),2018,717.736
Bulgaria,Nuclear,Combined Heat and Power (CHP),2019,660.089
Bulgaria,Nuclear,Combined Heat and Power (CHP),2020,547.697
Bulgaria,Nuclear,Combined Heat and Power (CHP),2021,652.752
Bulgaria,Nuclear,Combined Heat and Power (CHP),2022,607.918
Bulgaria,Other non-renewable energy,Heat (Commercial),2005,75.0
Bulgaria,Other non-renewable energy,Heat (Commercial),2006,65.0
Bulgaria,Other non-renewable energy,Heat (Commercial),2007,5.0
Bulgaria,Other non-renewable energy,Heat (Commercial),2017,3.392
Bulgaria,Other non-renewable energy,Heat (Commercial),2018,46.717
Bulgaria,Other non-renewable energy,Heat (Commercial),2019,188.207
Bulgaria,Other non-renewable energy,Heat (Commercial),2020,226.494
Bulgaria,Other non-renewable energy,Heat (Commercial),2021,226.917
Bulgaria,Other non-renewable energy,Heat (Commercial),2022,250.776
Bulgaria,Other non-renewable energy,Combined Heat and Power (CHP),2000,7.0
Bulgaria,Other non-renewable energy,Combined Heat and Power (CHP),2001,1.0
Bulgaria,Other non-renewable energy,Combined Heat and Power (CHP),2006,1.0
Bulgaria,Other non-renewable energy,Combined Heat and Power (CHP),2007,1.0
Bulgaria,Other non-renewable energy,Combined Heat and Power (CHP),2019,35.731
Bulgaria,Other non-renewable energy,Combined Heat and Power (CHP),2020,24.18
Canada,Renewable municipal waste,Heat (Commercial),2000,2293.0
Canada,Renewable municipal waste,Heat (Commercial),2001,2268.0
Canada,Renewable municipal waste,Heat (Commercial),2002,2298.0
Canada,Renewable municipal waste,Heat (Commercial),2003,1910.0
Canada,Renewable municipal waste,Heat (Commercial),2004,1964.0
Canada,Renewable municipal waste,Heat (Commercial),2005,1929.0
Canada,Renewable municipal waste,Heat (Commercial),2006,1714.0
Canada,Renewable municipal waste,Heat (Commercial),2007,1613.0
Canada,Renewable municipal waste,Heat (Commercial),2008,1650.0
Canada,Renewable municipal waste,Heat (Commercial),2009,1712.0
Canada,Renewable municipal waste,Heat (Commercial),2010,1624.0
Canada,Renewable municipal waste,Heat (Commercial),2011,1782.0
Canada,Renewable municipal waste,Heat (Commercial),2012,1635.0
Canada,Renewable municipal waste,Heat (Commercial),2013,1811.0
Canada,Renewable municipal waste,Heat (Commercial),2014,1664.0
Canada,Renewable municipal waste,Heat (Commercial),2015,1725.0
Canada,Renewable municipal waste,Heat (Commercial),2016,1826.0
Canada,Renewable municipal waste,Heat (Commercial),2017,1963.0
Canada,Renewable municipal waste,Heat (Commercial),2018,1838.0
Canada,Renewable municipal waste,Heat (Commercial),2019,1827.0
Canada,Renewable municipal waste,Heat (Commercial),2020,1748.0
Canada,Renewable municipal waste,Heat (Commercial),2021,1748.0
Canada,Renewable municipal waste,Heat (Commercial),2022,1748.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2000,1198.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2001,1183.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2002,1198.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2003,999.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2004,1023.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2005,1061.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2006,1151.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2007,1082.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2008,1061.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2009,988.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2010,935.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2011,1026.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2012,806.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2013,647.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2014,595.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2015,615.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2016,651.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2017,701.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2018,657.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2019,651.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2020,623.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2021,623.0
Canada,Renewable municipal waste,Combined Heat and Power (CHP),2022,623.0
Canada,Biogas,Heat (Commercial),2005,341.0
Canada,Biogas,Heat (Commercial),2006,360.0
Canada,Biogas,Heat (Commercial),2007,2161.0
Canada,Biogas,Heat (Commercial),2008,2128.994
Canada,Biogas,Heat (Commercial),2009,2151.995
Canada,Biogas,Heat (Commercial),2010,2290.002
Canada,Biogas,Heat (Commercial),2011,1793.002
Canada,Biogas,Heat (Commercial),2012,1929.994
Canada,Biogas,Heat (Commercial),2013,1813.999
Canada,Biogas,Heat (Commercial),2014,1879.998
Canada,Biogas,Heat (Commercial),2015,1966.997
Canada,Biogas,Heat (Commercial),2016,1906.999
Canada,Biogas,Heat (Commercial),2017,1787.998
Canada,Biogas,Heat (Commercial),2018,1687.998
Canada,Biogas,Heat (Commercial),2019,1667.002
Canada,Biogas,Heat (Commercial),2020,1603.999
Canada,Biogas,Heat (Commercial),2021,1603.999
Canada,Biogas,Heat (Commercial),2022,1603.999
Canada,Biogas,Combined Heat and Power (CHP),2005,171.0
Canada,Biogas,Combined Heat and Power (CHP),2006,180.0
Canada,Biogas,Combined Heat and Power (CHP),2007,49.0
Canada,Biogas,Combined Heat and Power (CHP),2008,48.0
Canada,Biogas,Combined Heat and Power (CHP),2009,49.0
Canada,Biogas,Combined Heat and Power (CHP),2010,49.0
Canada,Biogas,Combined Heat and Power (CHP),2011,50.0
Canada,Biogas,Combined Heat and Power (CHP),2012,54.0
Canada,Biogas,Combined Heat and Power (CHP),2013,134.999
Canada,Biogas,Combined Heat and Power (CHP),2014,139.001
Canada,Biogas,Combined Heat and Power (CHP),2015,145.999
Canada,Biogas,Combined Heat and Power (CHP),2016,142.0
Canada,Biogas,Combined Heat and Power (CHP),2017,133.0
Canada,Biogas,Combined Heat and Power (CHP),2018,125.0
Canada,Biogas,Combined Heat and Power (CHP),2019,124.001
Canada,Biogas,Combined Heat and Power (CHP),2020,119.001
Canada,Biogas,Combined Heat and Power (CHP),2021,119.001
Canada,Biogas,Combined Heat and Power (CHP),2022,119.001
Canada,Coal and peat,Heat (Commercial),2013,18.0
Canada,Coal and peat,Heat (Commercial),2014,14.0
Canada,Coal and peat,Heat (Commercial),2015,13.0
Canada,Coal and peat,Heat (Commercial),2016,15.0
Canada,Coal and peat,Heat (Commercial),2017,15.0
Canada,Coal and peat,Heat (Commercial),2018,16.0
Canada,Oil,Combined Heat and Power (CHP),2000,2434.0
Canada,Oil,Combined Heat and Power (CHP),2001,2494.0
Canada,Oil,Combined Heat and Power (CHP),2002,2818.0
Canada,Oil,Combined Heat and Power (CHP),2003,3666.0
Canada,Oil,Combined Heat and Power (CHP),2004,4054.0
Canada,Oil,Combined Heat and Power (CHP),2005,2914.0
Canada,Oil,Combined Heat and Power (CHP),2006,3083.0
Canada,Oil,Combined Heat and Power (CHP),2007,2017.0
Canada,Oil,Combined Heat and Power (CHP),2008,1013.0
Canada,Oil,Combined Heat and Power (CHP),2009,1665.0
Canada,Oil,Combined Heat and Power (CHP),2010,1297.0
Canada,Oil,Combined Heat and Power (CHP),2011,401.0
Canada,Oil,Combined Heat and Power (CHP),2012,102.0
Canada,Oil,Combined Heat and Power (CHP),2013,51.0
Canada,Oil,Combined Heat and Power (CHP),2014,32.0
Canada,Oil,Combined Heat and Power (CHP),2015,62.0
Canada,Oil,Combined Heat and Power (CHP),2016,198.0
Canada,Oil,Combined Heat and Power (CHP),2017,29.0
Canada,Oil,Combined Heat and Power (CHP),2018,97.0
Canada,Oil,Combined Heat and Power (CHP),2019,94.0
Canada,Oil,Combined Heat and Power (CHP),2020,33.0
Canada,Oil,Combined Heat and Power (CHP),2021,134.0
Canada,Oil,Combined Heat and Power (CHP),2022,73.0
Canada,Natural gas,Combined Heat and Power (CHP),2000,31535.0
Canada,Natural gas,Combined Heat and Power (CHP),2001,33208.0
Canada,Natural gas,Combined Heat and Power (CHP),2002,33103.0
Canada,Natural gas,Combined Heat and Power (CHP),2003,35676.0
Canada,Natural gas,Combined Heat and Power (CHP),2004,35068.0
Canada,Natural gas,Combined Heat and Power (CHP),2005,18216.0
Canada,Natural gas,Combined Heat and Power (CHP),2006,17439.0
Canada,Natural gas,Combined Heat and Power (CHP),2007,18528.0
Canada,Natural gas,Combined Heat and Power (CHP),2008,17304.0
Canada,Natural gas,Combined Heat and Power (CHP),2009,18277.0
Canada,Natural gas,Combined Heat and Power (CHP),2010,18208.0
Canada,Natural gas,Combined Heat and Power (CHP),2011,20926.0
Canada,Natural gas,Combined Heat and Power (CHP),2012,29307.0
Canada,Natural gas,Combined Heat and Power (CHP),2013,31491.0
Canada,Natural gas,Combined Heat and Power (CHP),2014,26754.0
Canada,Natural gas,Combined Heat and Power (CHP),2015,18503.0
Canada,Natural gas,Combined Heat and Power (CHP),2016,14259.0
Canada,Natural gas,Combined Heat and Power (CHP),2017,14094.0
Canada,Natural gas,Combined Heat and Power (CHP),2018,19491.0
Canada,Natural gas,Combined Heat and Power (CHP),2019,16297.0
Canada,Natural gas,Combined Heat and Power (CHP),2020,16591.0
Canada,Natural gas,Combined Heat and Power (CHP),2021,17108.0
Canada,Natural gas,Combined Heat and Power (CHP),2022,17829.0
Canada,Other non-renewable energy,Heat (Commercial),2000,777.0
Canada,Other non-renewable energy,Heat (Commercial),2001,765.0
Canada,Other non-renewable energy,Heat (Commercial),2002,785.0
Canada,Other non-renewable energy,Heat (Commercial),2003,722.0
Canada,Other non-renewable energy,Heat (Commercial),2004,738.0
Canada,Other non-renewable energy,Heat (Commercial),2005,719.0
Canada,Other non-renewable energy,Heat (Commercial),2006,636.0
Canada,Other non-renewable energy,Heat (Commercial),2007,613.0
Canada,Other non-renewable energy,Heat (Commercial),2008,636.0
Canada,Other non-renewable energy,Heat (Commercial),2009,667.0
Canada,Other non-renewable energy,Heat (Commercial),2010,594.0
Canada,Other non-renewable energy,Heat (Commercial),2011,710.0
Canada,Other non-renewable energy,Heat (Commercial),2012,838.0
Canada,Other non-renewable energy,Heat (Commercial),2013,1023.0
Canada,Other non-renewable energy,Heat (Commercial),2014,995.0
Canada,Other non-renewable energy,Heat (Commercial),2015,1098.0
Canada,Other non-renewable energy,Heat (Commercial),2016,1156.0
Canada,Other non-renewable energy,Heat (Commercial),2017,1126.0
Canada,Other non-renewable energy,Heat (Commercial),2018,1184.0
Canada,Other non-renewable energy,Heat (Commercial),2019,1175.0
Canada,Other non-renewable energy,Heat (Commercial),2020,1278.0
Canada,Other non-renewable energy,Heat (Commercial),2021,1253.0
Canada,Other non-renewable energy,Heat (Commercial),2022,1253.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2000,411.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2001,404.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2002,413.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2003,380.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2004,388.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2005,400.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2006,431.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2007,416.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2008,413.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2009,386.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2010,344.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2011,414.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2012,493.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2013,367.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2014,360.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2015,394.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2016,416.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2017,405.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2018,427.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2019,423.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2020,460.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2021,451.0
Canada,Other non-renewable energy,Combined Heat and Power (CHP),2022,451.0
China,Solid biofuels,Heat (Commercial),2000,12224.0
China,Solid biofuels,Heat (Commercial),2001,12310.0
China,Solid biofuels,Heat (Commercial),2002,12271.0
China,Solid biofuels,Heat (Commercial),2003,12223.0
China,Solid biofuels,Heat (Commercial),2004,12180.0
China,Solid biofuels,Heat (Commercial),2005,12137.0
China,Solid biofuels,Heat (Commercial),2006,12089.0
China,Solid biofuels,Heat (Commercial),2007,12033.0
China,Solid biofuels,Heat (Commercial),2008,11864.0
China,Solid biofuels,Heat (Commercial),2009,11849.0
China,Solid biofuels,Heat (Commercial),2010,11801.0
China,Solid biofuels,Heat (Commercial),2011,11714.0
China,Solid biofuels,Heat (Commercial),2012,11625.0
China,Solid biofuels,Heat (Commercial),2013,11543.0
China,Solid biofuels,Heat (Commercial),2014,12579.9
China,Solid biofuels,Heat (Commercial),2015,13089.1
China,Solid biofuels,Heat (Commercial),2016,13522.2
China,Solid biofuels,Heat (Commercial),2017,17652.8
China,Solid biofuels,Heat (Commercial),2018,15864.5
China,Solid biofuels,Heat (Commercial),2019,15412.8
China,Solid biofuels,Heat (Commercial),2020,15842.9
China,Solid biofuels,Heat (Commercial),2021,16845.0
China,Solid biofuels,Heat (Commercial),2022,17169.7
China,Coal and peat,Heat (Commercial),2000,1255697.0
China,Coal and peat,Heat (Commercial),2001,1317832.0
China,Coal and peat,Heat (Commercial),2002,1432184.0
China,Coal and peat,Heat (Commercial),2003,1572887.0
China,Coal and peat,Heat (Commercial),2004,1720486.0
China,Coal and peat,Heat (Commercial),2005,2108559.0
China,Coal and peat,Heat (Commercial),2006,2279029.0
China,Coal and peat,Heat (Commercial),2007,2413104.0
China,Coal and peat,Heat (Commercial),2008,2380697.0
China,Coal and peat,Heat (Commercial),2009,2462485.0
China,Coal and peat,Heat (Commercial),2010,2709365.0
China,Coal and peat,Heat (Commercial),2011,2923095.0
China,Coal and peat,Heat (Commercial),2012,3139110.0
China,Coal and peat,Heat (Commercial),2013,3388944.0
China,Coal and peat,Heat (Commercial),2014,3693370.0
China,Coal and peat,Heat (Commercial),2015,3842870.0
China,Coal and peat,Heat (Commercial),2016,3970020.0
China,Coal and peat,Heat (Commercial),2017,5182740.0
China,Coal and peat,Heat (Commercial),2018,4657700.0
China,Coal and peat,Heat (Commercial),2019,4525080.0
China,Coal and peat,Heat (Commercial),2020,4651350.0
China,Coal and peat,Heat (Commercial),2021,4945570.0
China,Coal and peat,Heat (Commercial),2022,5040910.0
China,Oil,Heat (Commercial),2000,148505.0
China,Oil,Heat (Commercial),2001,150145.0
China,Oil,Heat (Commercial),2002,143782.0
China,Oil,Heat (Commercial),2003,143743.0
China,Oil,Heat (Commercial),2004,128964.0
China,Oil,Heat (Commercial),2005,95187.0
China,Oil,Heat (Commercial),2006,109782.0
China,Oil,Heat (Commercial),2007,98358.0
China,Oil,Heat (Commercial),2008,117586.0
China,Oil,Heat (Commercial),2009,112102.0
China,Oil,Heat (Commercial),2010,143396.0
China,Oil,Heat (Commercial),2011,121766.0
China,Oil,Heat (Commercial),2012,122600.0
China,Oil,Heat (Commercial),2013,116055.0
China,Oil,Heat (Commercial),2014,126480.0
China,Oil,Heat (Commercial),2015,131600.0
China,Oil,Heat (Commercial),2016,135954.0
China,Oil,Heat (Commercial),2017,177484.0
China,Oil,Heat (Commercial),2018,159504.0
China,Oil,Heat (Commercial),2019,154962.0
China,Oil,Heat (Commercial),2020,159286.0
China,Oil,Heat (Commercial),2021,169362.0
China,Oil,Heat (Commercial),2022,172627.0
China,Natural gas,Heat (Commercial),2000,44936.0
China,Natural gas,Heat (Commercial),2001,51748.0
China,Natural gas,Heat (Commercial),2002,53671.0
China,Natural gas,Heat (Commercial),2003,44147.0
China,Natural gas,Heat (Commercial),2004,64235.0
China,Natural gas,Heat (Commercial),2005,73064.0
China,Natural gas,Heat (Commercial),2006,67219.0
China,Natural gas,Heat (Commercial),2007,62532.0
China,Natural gas,Heat (Commercial),2008,67483.0
China,Natural gas,Heat (Commercial),2009,81043.0
China,Natural gas,Heat (Commercial),2010,91566.0
China,Natural gas,Heat (Commercial),2011,91989.0
China,Natural gas,Heat (Commercial),2012,107796.0
China,Natural gas,Heat (Commercial),2013,124113.0
China,Natural gas,Heat (Commercial),2014,135262.0
China,Natural gas,Heat (Commercial),2015,140737.0
China,Natural gas,Heat (Commercial),2016,145394.0
China,Natural gas,Heat (Commercial),2017,189807.0
China,Natural gas,Heat (Commercial),2018,170579.0
China,Natural gas,Heat (Commercial),2019,165722.0
China,Natural gas,Heat (Commercial),2020,170346.0
China,Natural gas,Heat (Commercial),2021,181121.0
China,Natural gas,Heat (Commercial),2022,184613.0
China,Fossil fuels n.e.s.,Heat (Commercial),2010,22084.0
China,Fossil fuels n.e.s.,Heat (Commercial),2011,25819.0
China,Fossil fuels n.e.s.,Heat (Commercial),2012,32254.0
China,Fossil fuels n.e.s.,Heat (Commercial),2013,34577.0
China,Fossil fuels n.e.s.,Heat (Commercial),2014,37683.0
China,Fossil fuels n.e.s.,Heat (Commercial),2015,39208.3
China,Fossil fuels n.e.s.,Heat (Commercial),2016,40505.6
China,Fossil fuels n.e.s.,Heat (Commercial),2017,52878.8
China,Fossil fuels n.e.s.,Heat (Commercial),2018,47522.0
China,Fossil fuels n.e.s.,Heat (Commercial),2019,46168.9
China,Fossil fuels n.e.s.,Heat (Commercial),2020,47457.2
China,Fossil fuels n.e.s.,Heat (Commercial),2021,50459.0
China,Fossil fuels n.e.s.,Heat (Commercial),2022,51431.9
Croatia,Solid biofuels,Heat (Commercial),2016,2.0
Croatia,Solid biofuels,Heat (Commercial),2017,2.4
Croatia,Solid biofuels,Heat (Commercial),2018,2.3
Croatia,Solid biofuels,Heat (Commercial),2019,2.4
Croatia,Solid biofuels,Heat (Commercial),2020,18.1
Croatia,Solid biofuels,Heat (Commercial),2021,19.5
Croatia,Solid biofuels,Heat (Commercial),2022,14.3
Croatia,Solid biofuels,Combined Heat and Power (CHP),2011,31.0
Croatia,Solid biofuels,Combined Heat and Power (CHP),2012,102.0
Croatia,Solid biofuels,Combined Heat and Power (CHP),2013,248.0
Croatia,Solid biofuels,Combined Heat and Power (CHP),2014,246.0
Croatia,Solid biofuels,Combined Heat and Power (CHP),2015,622.0
Croatia,Solid biofuels,Combined Heat and Power (CHP),2016,928.0
Croatia,Solid biofuels,Combined Heat and Power (CHP),2017,1495.9
Croatia,Solid biofuels,Combined Heat and Power (CHP),2018,2326.9
Croatia,Solid biofuels,Combined Heat and Power (CHP),2019,3085.9
Croatia,Solid biofuels,Combined Heat and Power (CHP),2020,3334.3
Croatia,Solid biofuels,Combined Heat and Power (CHP),2021,3997.57
Croatia,Solid biofuels,Combined Heat and Power (CHP),2022,3809.2
Croatia,Biogas,Combined Heat and Power (CHP),2010,63.0
Croatia,Biogas,Combined Heat and Power (CHP),2011,47.0
Croatia,Biogas,Combined Heat and Power (CHP),2012,111.0
Croatia,Biogas,Combined Heat and Power (CHP),2013,114.0
Croatia,Biogas,Combined Heat and Power (CHP),2014,132.0
Croatia,Biogas,Combined Heat and Power (CHP),2015,219.0
Croatia,Biogas,Combined Heat and Power (CHP),2016,283.0
Croatia,Biogas,Combined Heat and Power (CHP),2017,326.5
Croatia,Biogas,Combined Heat and Power (CHP),2018,479.9
Croatia,Biogas,Combined Heat and Power (CHP),2019,513.4
Croatia,Biogas,Combined Heat and Power (CHP),2020,528.8
Croatia,Biogas,Combined Heat and Power (CHP),2021,708.083
Croatia,Biogas,Combined Heat and Power (CHP),2022,606.1
Croatia,Coal and peat,Heat (Commercial),2000,18.0
Croatia,Coal and peat,Heat (Commercial),2001,23.0
Croatia,Coal and peat,Heat (Commercial),2002,24.0
Croatia,Coal and peat,Heat (Commercial),2003,25.0
Croatia,Coal and peat,Heat (Commercial),2004,24.0
Croatia,Coal and peat,Heat (Commercial),2005,30.0
Croatia,Coal and peat,Heat (Commercial),2006,41.0
Croatia,Coal and peat,Heat (Commercial),2007,36.0
Croatia,Oil,Heat (Commercial),2000,1209.0
Croatia,Oil,Heat (Commercial),2001,1226.0
Croatia,Oil,Heat (Commercial),2002,1222.0
Croatia,Oil,Heat (Commercial),2003,1478.0
Croatia,Oil,Heat (Commercial),2004,1500.0
Croatia,Oil,Heat (Commercial),2005,1489.0
Croatia,Oil,Heat (Commercial),2006,1262.0
Croatia,Oil,Heat (Commercial),2007,1106.0
Croatia,Oil,Heat (Commercial),2008,852.0
Croatia,Oil,Heat (Commercial),2009,859.0
Croatia,Oil,Heat (Commercial),2010,943.0
Croatia,Oil,Heat (Commercial),2011,990.0
Croatia,Oil,Heat (Commercial),2012,577.0
Croatia,Oil,Heat (Commercial),2013,273.0
Croatia,Oil,Heat (Commercial),2014,199.0
Croatia,Oil,Heat (Commercial),2015,259.0
Croatia,Oil,Heat (Commercial),2016,247.0
Croatia,Oil,Heat (Commercial),2017,223.4
Croatia,Oil,Heat (Commercial),2018,179.5
Croatia,Oil,Heat (Commercial),2019,143.5
Croatia,Oil,Heat (Commercial),2020,105.9
Croatia,Oil,Heat (Commercial),2021,143.0
Croatia,Oil,Heat (Commercial),2022,176.0
Croatia,Oil,Combined Heat and Power (CHP),2000,2519.0
Croatia,Oil,Combined Heat and Power (CHP),2001,2106.0
Croatia,Oil,Combined Heat and Power (CHP),2002,1592.0
Croatia,Oil,Combined Heat and Power (CHP),2003,2708.0
